"date","percentReturn"
2010-06-11,34.01861
2010-06-18,36.77757
2010-06-25,35.78858
2010-07-02,33.13698
2010-07-09,34.83851
2010-07-16,33.53418
2010-07-23,34.88146
2010-07-30,34.52048
2010-08-06,34.90158
2010-08-13,33.42683
2010-08-20,33.4993
2010-08-27,32.42308
2010-09-03,34.72445
2010-09-10,35.3471
2010-09-17,36.95201
2010-09-24,39.22654
2010-10-01,37.91148
2010-10-08,39.46137
2010-10-15,42.23509
2010-10-22,41.25953
2010-10-29,40.38863
2010-11-05,42.55581
2010-11-12,41.33468
2010-11-19,41.16022
2010-11-26,42.26998
2010-12-03,42.5974
2010-12-10,43.01608
2010-12-17,43.02279
2010-12-24,43.42402
2010-12-31,43.28446
2011-01-07,45.10408
2011-01-14,46.76268
2011-01-21,43.8427
2011-01-28,45.1014
2011-02-04,46.49698
2011-02-11,47.88585
2011-02-18,47.04179
2011-02-25,46.71973
2011-03-04,48.30855
2011-03-11,47.23369
2011-03-18,44.37275
2011-03-25,47.1733
2011-04-01,46.23665
2011-04-08,44.96184
2011-04-15,43.94199
2011-04-22,47.06058
2011-04-29,46.98409
2011-05-06,46.51845
2011-05-13,45.69184
2011-05-20,44.98331
2011-05-27,45.27719
2011-06-03,46.08636
2011-06-10,43.73265
2011-06-17,42.97582
2011-06-24,43.79304
2011-07-01,46.0622
2011-07-08,48.26963
2011-07-15,48.96877
2011-07-22,52.77709
2011-07-29,52.39867
2011-08-05,50.13623
2011-08-12,50.58844
2011-08-19,47.77581
2011-08-26,51.47276
2011-09-02,50.19392
2011-09-09,50.65419
2011-09-16,53.74327
2011-09-23,54.25318
2011-09-30,51.16949
2011-10-07,49.62362
2011-10-14,56.62835
2011-10-21,52.71939
2011-10-28,54.34041
2011-11-04,53.70837
2011-11-11,51.61231
2011-11-18,50.31335
2011-11-25,48.78761
2011-12-02,52.29401
2011-12-09,52.82003
2011-12-16,51.12923
2011-12-23,54.12302
2011-12-30,54.34711
2012-01-06,56.68203
2012-01-13,56.33448
2012-01-20,56.40023
2012-01-27,60.02069
2012-02-03,61.68465
2012-02-10,66.21223
2012-02-17,67.37969
2012-02-24,70.10241
2012-03-02,73.15793
2012-03-09,73.15659
2012-03-16,78.57789
2012-03-23,79.9842
2012-03-30,80.45387
2012-04-06,85.03378
2012-04-13,81.21607
2012-04-20,76.88843
2012-04-27,80.91682
2012-05-04,75.85114
2012-05-11,76.04705
2012-05-18,71.17191
2012-05-25,75.45393
2012-06-01,75.27949
2012-06-08,77.87339
2012-06-15,77.04274
2012-06-22,78.11224
2012-06-29,78.3672
2012-07-06,81.30329
2012-07-13,81.18118
2012-07-20,81.09126
2012-07-27,78.52287
2012-08-03,82.62103
2012-08-10,83.78438
2012-08-17,87.34356
2012-08-24,89.37988
2012-08-31,89.65211
2012-09-07,91.70055
2012-09-14,93.16143
2012-09-21,94.34872
2012-09-28,89.90278
2012-10-05,87.94731
2012-10-12,84.86385
2012-10-19,82.18604
2012-10-26,81.399
2012-11-02,77.73335
2012-11-09,74.06213
2012-11-16,71.43842
2012-11-23,77.37086
2012-11-30,79.23643
2012-12-07,72.1925
2012-12-14,69.01643
2012-12-21,70.30798
2012-12-28,68.98936
2013-01-04,71.34636
2013-01-11,70.4393
2013-01-18,67.69105
2013-01-25,59.55187
2013-02-01,61.41202
2013-02-08,64.67854
2013-02-15,62.66048
2013-02-22,61.38729
2013-03-01,58.61757
2013-03-08,58.78779
2013-03-15,60.41367
2013-03-22,62.89878
2013-03-29,60.27749
2013-04-05,57.62761
2013-04-12,58.52634
2013-04-19,53.1789
2013-04-26,56.81058
2013-05-03,61.27427
2013-05-10,62.08969
2013-05-17,59.388
2013-05-24,61.01779
2013-05-31,61.64557
2013-06-07,60.55996
2013-06-14,58.94799
2013-06-21,56.67944
2013-06-28,54.35332
2013-07-05,57.21677
2013-07-12,58.46275
2013-07-19,58.24892
2013-07-26,60.44756
2013-08-02,63.40147
2013-08-09,62.70386
2013-08-16,69.31022
2013-08-23,69.12946
2013-08-30,67.22538
2013-09-06,68.74313
2013-09-13,64.14572
2013-09-20,64.49204
2013-09-27,66.60862
2013-10-04,66.64725
2013-10-11,67.99667
2013-10-18,70.21535
2013-10-25,72.57062
2013-11-01,71.75242
2013-11-08,72.24488
2013-11-15,72.8597
2013-11-22,72.13941
2013-11-29,77.17307
2013-12-06,77.72127
2013-12-13,76.94547
2013-12-20,76.19465
2013-12-27,77.73099
2014-01-03,75.07884
2014-01-10,73.96303
2014-01-17,75.03581
2014-01-24,75.78525
2014-01-31,69.47478
2014-02-07,72.55447
2014-02-14,75.94848
2014-02-21,73.33212
2014-02-28,73.47033
2014-03-07,74.05671
2014-03-14,73.25393
2014-03-21,74.39598
2014-03-28,74.95303
2014-04-04,74.24938
2014-04-11,72.5447
2014-04-18,73.28884
2014-04-25,79.85068
2014-05-02,82.73232
2014-05-09,82.20602
2014-05-16,83.88654
2014-05-23,86.21988
2014-05-30,88.86911
2014-06-06,90.63386
2014-06-13,89.70585
2014-06-20,89.34223
2014-06-27,90.39378
2014-07-04,92.40842
2014-07-11,93.5779
2014-07-18,92.80153
2014-07-25,95.98565
2014-08-01,94.47221
2014-08-08,93.5693
2014-08-15,96.76926
2014-08-22,100.06799
2014-08-29,101.23341
2014-09-05,97.74703
