"date","percentReturn"
2010-06-11,116.15891
2010-06-18,117.69624
2010-06-25,114.95618
2010-07-02,110.19949
2010-07-09,115.7158
2010-07-16,115.7791
2010-07-23,116.09561
2010-07-30,116.11369
2010-08-06,118.27034
2010-08-13,116.20738
2010-08-20,115.87112
2010-08-27,113.35378
2010-09-03,115.94383
2010-09-10,116.31644
2010-09-17,118.31578
2010-09-24,121.87825
2010-10-01,123.2687
2010-10-08,126.18594
2010-10-15,128.19437
2010-10-22,126.93114
2010-10-29,130.5027
2010-11-05,133.51988
2010-11-12,131.21043
2010-11-19,132.40623
2010-11-26,131.35648
2010-12-03,132.70747
2010-12-10,132.19629
2010-12-17,132.3606
2010-12-24,133.173
2010-12-31,133.96716
2011-01-07,135.03519
2011-01-14,136.92474
2011-01-21,141.94533
2011-01-28,145.33194
2011-02-04,149.70439
2011-02-11,150.15965
2011-02-18,151.06693
2011-02-25,148.72083
2011-03-04,148.30844
2011-03-11,148.85829
2011-03-18,142.86475
2011-03-25,148.62918
2011-04-01,150.54457
2011-04-08,150.34294
2011-04-15,152.32246
2011-04-22,154.21951
2011-04-29,156.32733
2011-05-06,155.4707
2011-05-13,156.41887
2011-05-20,156.6398
2011-05-27,154.19116
2011-06-03,151.93582
2011-06-10,150.2144
2011-06-17,151.3743
2011-06-24,151.95424
2011-07-01,160.67178
2011-07-08,162.46686
2011-07-15,161.59233
2011-07-22,170.46637
2011-07-29,167.40097
2011-08-05,159.23573
2011-08-12,155.50978
2011-08-19,145.65405
2011-08-26,156.37888
2011-09-02,154.38184
2011-09-09,149.19508
2011-09-16,159.9384
2011-09-23,156.56378
2011-09-30,161.67656
2011-10-07,168.6292
2011-10-14,176.15506
2011-10-21,167.92654
2011-10-28,173.30743
2011-11-04,172.31816
2011-11-11,173.93915
2011-11-18,171.95265
2011-11-25,164.35939
2011-12-02,176.0556
2011-12-09,180.60411
2011-12-16,170.40244
2011-12-23,171.49779
2011-12-30,170.6902
2012-01-06,169.4463
2012-01-13,166.30876
2012-01-20,174.99738
2012-01-27,176.79822
2012-02-03,179.75011
2012-02-10,179.31317
2012-02-17,180.24506
2012-02-24,184.28943
2012-03-02,185.26791
2012-03-09,186.95462
2012-03-16,191.97748
2012-03-23,191.48358
2012-03-30,194.43765
2012-04-06,191.47426
2012-04-13,188.98613
2012-04-20,186.0041
2012-04-27,192.72299
2012-05-04,191.02696
2012-05-11,188.2525
2012-05-18,183.30219
2012-05-25,181.82364
2012-06-01,176.93883
2012-06-08,182.6097
2012-06-15,186.31543
2012-06-22,181.26216
2012-06-29,183.02145
2012-07-06,179.11922
2012-07-13,174.06595
2012-07-20,180.09242
2012-07-27,183.77943
2012-08-03,185.77267
2012-08-10,187.28947
2012-08-17,189.10326
2012-08-24,185.86101
2012-08-31,183.11685
2012-09-07,187.48683
2012-09-14,194.35664
2012-09-21,193.57663
2012-09-28,194.95811
2012-10-05,197.90903
2012-10-12,195.28705
2012-10-19,181.71657
2012-10-26,181.63199
2012-11-02,181.78235
2012-11-09,179.00055
2012-11-16,176.45203
2012-11-23,182.63455
2012-11-30,179.40643
2012-12-07,181.18095
2012-12-14,181.0016
2012-12-21,182.56848
2012-12-28,179.17989
2013-01-04,183.10651
2013-01-11,183.5407
2013-01-18,183.55957
2013-01-25,193.47049
2013-02-01,193.6687
2013-02-08,191.16634
2013-02-15,190.50282
2013-02-22,190.6071
2013-03-01,192.33223
2013-03-08,199.41281
2013-03-15,203.71613
2013-03-22,201.02419
2013-03-29,202.18059
2013-04-05,198.49338
2013-04-12,200.36069
2013-04-19,180.09523
2013-04-26,184.18054
2013-05-03,193.8488
2013-05-10,194.71933
2013-05-17,198.50002
2013-05-24,195.90973
2013-05-31,198.10004
2013-06-07,196.50969
2013-06-14,192.55757
2013-06-21,186.13901
2013-06-28,181.99643
2013-07-05,185.63426
2013-07-12,182.91066
2013-07-19,184.31055
2013-07-26,187.93887
2013-08-02,185.8533
2013-08-09,179.75746
2013-08-16,177.38391
2013-08-23,177.46048
2013-08-30,174.44571
2013-09-06,175.17308
2013-09-13,183.92073
2013-09-20,181.86302
2013-09-27,178.89609
2013-10-04,176.19716
2013-10-11,178.16872
2013-10-18,166.32014
2013-10-25,169.25838
2013-11-01,171.53619
2013-11-08,173.18867
2013-11-15,176.26776
2013-11-22,174.44917
2013-11-29,172.89038
2013-12-06,170.95633
2013-12-13,166.27037
2013-12-20,173.21754
2013-12-27,178.08633
2014-01-03,179.58739
2014-01-10,180.18396
2014-01-17,182.90701
2014-01-24,172.8519
2014-01-31,170.00374
2014-02-07,171.4872
2014-02-14,177.71783
2014-02-21,176.84708
2014-02-28,179.1497
2014-03-07,181.57809
2014-03-14,176.28595
2014-03-21,180.60094
2014-03-28,184.25804
2014-04-04,185.53513
2014-04-11,188.84393
2014-04-18,183.83234
2014-04-25,183.46471
2014-05-02,185.21585
2014-05-09,184.97078
2014-05-16,182.03195
2014-05-23,180.94206
2014-05-30,179.40453
2014-06-06,181.3605
2014-06-13,177.65291
2014-06-20,176.67006
2014-06-27,176.82576
2014-07-04,183.46245
2014-07-11,182.94669
2014-07-18,187.32573
2014-07-25,189.17465
2014-08-01,184.06577
2014-08-08,182.68759
2014-08-15,183.42174
2014-08-22,186.38774
2014-08-29,188.23781
2014-09-05,187.16104
2014-09-12,187.23935
2014-09-19,189.9019
2014-09-26,186.04512
2014-10-03,184.68449
2014-10-10,182.00237
2014-10-17,178.20433
2014-10-24,158.65619
2014-10-31,160.92717
2014-11-07,159.73221
2014-11-14,161.79205
2014-11-21,158.59879
2014-11-28,159.83076
2014-12-05,160.9149
2014-12-12,153.1387
2014-12-19,156.22354
2014-12-26,159.99831
2015-01-02,159.72234
2015-01-09,156.8149
2015-01-16,154.87332
2015-01-23,153.62163
2015-01-30,151.09856
2015-02-06,155.54288
2015-02-13,159.19524
2015-02-20,162.42082
2015-02-27,160.72368
2015-03-06,157.30951
2015-03-13,153.1212
2015-03-20,161.65662
2015-03-27,159.19524
2015-04-03,159.24486
2015-04-10,161.63676
2015-04-17,159.46321
2015-04-24,168.50479
2015-05-01,172.36557
2015-05-08,172.67999
2015-05-15,173.25999
2015-05-22,172.22
2015-05-29,171.71001
